,Measure,Ethnicity,Ethnicity_type,Time,Time_type,Geography,Geography_type,Gender,Age Bracket,NS SEC,Physical Activity Level,Value,Value_type,Denominator (weighted),Numerator (weighted),Upper CI,Lower CI,Number of Respondents (unweighted)
1006,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically active,72.7,%,1215,883,77.40%,67.50%,524
1007,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically active,59.2,%,954,565,64.70%,53.50%,488
1008,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically active,60.1,%,9440,5677,61.50%,58.70%,8958
1009,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically active,60.7,%,8596,5222,62.20%,59.30%,8166
1010,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically active,61.4,%,180,110,70.50%,51.50%,202
1011,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically active,58.9,%,146,86,70.60%,46.00%,135
1012,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically active,?,%,?,?,?,?,34
1013,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically active,?,%,?,?,?,?,47
1014,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically active,65.6,%,82,54,78.70%,49.80%,63
1015,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North East,Region,All,16+,All,Physically active,?,%,?,?,?,?,54
1016,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically active,61.4,%,25463,15641,62.20%,60.60%,27560
1017,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically active,62.3,%,21363,13302,63.10%,61.40%,23824
1018,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically active,65.6,%,923,605,69.60%,61.30%,953
1019,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically active,53.2,%,1401,745,57.10%,49.20%,1059
1020,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically active,55,%,285,157,63.00%,46.70%,260
1021,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically active,55.8,%,132,74,66.20%,44.90%,134
1022,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically active,72.8,%,315,229,79.40%,65.00%,260
1023,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,North West,Region,All,16+,All,Physically active,55.9,%,189,106,65.30%,45.90%,174
1024,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically active,64.5,%,31725,20466,65.20%,63.90%,36345
1025,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically active,65.2,%,26303,17137,65.80%,64.40%,30596
1026,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically active,66.3,%,1854,1229,68.90%,63.60%,2142
1027,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically active,55.2,%,1299,717,59.30%,51.20%,1265
1028,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically active,61.1,%,383,234,67.40%,54.30%,346
1029,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically active,56.7,%,180,102,67.50%,45.10%,172
1030,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically active,75.4,%,409,309,80.80%,69.10%,352
1031,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South East,Region,All,16+,All,Physically active,62.5,%,222,139,70.90%,53.40%,205
1032,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically active,65.2,%,19788,12905,66.10%,64.30%,22349
1033,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically active,65.5,%,17654,11562,66.40%,64.60%,20285
1034,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically active,69.7,%,767,535,74.10%,65.00%,781
1035,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically active,55.8,%,345,192,63.80%,47.50%,235
1036,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically active,61.6,%,70,43,74.40%,46.90%,64
1037,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically active,63.1,%,68,43,78.20%,44.80%,54
1038,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically active,74.9,%,217,163,82.00%,66.10%,168
1039,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,South West,Region,All,16+,All,Physically active,59.1,%,118,70,73.10%,43.40%,92
1040,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically active,57.6,%,20339,11705,58.50%,56.60%,19092
1041,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically active,58.6,%,15622,9151,59.60%,57.50%,16103
1042,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically active,63.7,%,771,491,68.60%,58.40%,625
1043,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically active,52.8,%,2173,1147,56.80%,48.80%,1084
1044,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically active,51,%,414,211,59.30%,42.60%,265
1045,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically active,45.8,%,87,40,60.70%,31.50%,70
1046,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically active,63.8,%,294,188,72.50%,54.10%,175
1047,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,West Midlands,Region,All,16+,All,Physically active,52.1,%,208,108,65.70%,38.10%,112
1048,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically active,60.2,%,19135,11517,61.30%,59.10%,14852
1049,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically active,61.1,%,16323,9981,62.30%,60.00%,13212
1050,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically active,66,%,559,369,72.20%,59.20%,388
1051,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically active,49.3,%,1047,516,55.30%,43.40%,466
1052,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically active,51.7,%,205,106,65.10%,38.00%,112
1053,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically active,?,%,?,?,?,?,47
1054,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically active,68.2,%,184,125,79.10%,54.90%,104
1055,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,Yorkshire and the Humber,Region,All,16+,All,Physically active,52.5,%,183,96,65.20%,39.40%,105
1056,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically active,74.9,%,27117,20297,75.80%,73.90%,12688
1057,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically active,78.1,%,18371,14354,79.20%,77.00%,9255
1058,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically active,77.2,%,1381,1066,80.90%,72.90%,677
1059,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically active,64.7,%,3438,2226,68.00%,61.30%,1155
1060,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically active,62.9,%,1075,676,68.60%,56.90%,404
1061,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically active,64.4,%,385,248,73.60%,54.00%,147
1062,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically active,77.3,%,1167,903,81.70%,72.30%,478
1063,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Physically active,67,%,461,309,76.10%,56.40%,141
1064,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Physically active,67.1,%,32346,21695,67.90%,66.20%,24414
1065,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Physically active,70.2,%,21717,15251,71.20%,69.30%,17551
